"","iso_2","iso_3","country","continent","oecd","year","category","share"
"417","DE","DEU","Germany","EU",1,"2020","1200","4.314"
"418","DE","DEU","Germany","EU",1,"2021","1200","5.997"
"419","DE","DEU","Germany","EU",1,"1990","1100","27.552"
"420","DE","DEU","Germany","EU",1,"2018","3000","0"
"421","DE","DEU","Germany","EU",1,"1990","1300","0"
"422","DE","DEU","Germany","EU",1,"2021","2000","37.573"
"423","DE","DEU","Germany","EU",1,"2022","1200","6.162"
"424","DE","DEU","Germany","EU",1,"2018","1200","5.568"
"425","DE","DEU","Germany","EU",1,"1990","5000","26.734"
"426","DE","DEU","Germany","EU",1,"2018","1300","0"
"427","DE","DEU","Germany","EU",1,"1990","6000","0.035"
"428","DE","DEU","Germany","EU",1,"2019","6000","0.024"
"429","DE","DEU","Germany","EU",1,"2018","6000","0.021"
"430","DE","DEU","Germany","EU",1,"2022","5000","26.687"
"431","DE","DEU","Germany","EU",1,"2022","1100","27.096"
"432","DE","DEU","Germany","EU",1,"2022","2000","37.192"
"433","DE","DEU","Germany","EU",1,"1990","4000","3.369"
"434","DE","DEU","Germany","EU",1,"2019","1200","5.189"
"435","DE","DEU","Germany","EU",1,"1990","2000","37.481"
"436","DE","DEU","Germany","EU",1,"2019","2000","37.872"
