"iso_2","iso_3","country","continent","oecd","year","category","value"
"CH","CHE","Switzerland","EU",1,"2018","6000",1.052
"CH","CHE","Switzerland","EU",1,"2015","1200",20.076
"CH","CHE","Switzerland","EU",1,"2016","1200",21.008
"CH","CHE","Switzerland","EU",1,"2017","1200",20.727
"CH","CHE","Switzerland","EU",1,"2019","1200",22.741
"CH","CHE","Switzerland","EU",1,"2017","5000",40.066
"CH","CHE","Switzerland","EU",1,"2018","5000",40.397
"CH","CHE","Switzerland","EU",1,"2019","5000",39.779
"CH","CHE","Switzerland","EU",1,"2009","1200",15.184
"CH","CHE","Switzerland","EU",1,"2013","1300",7.982
"CH","CHE","Switzerland","EU",1,"2008","5000",32.517
"CH","CHE","Switzerland","EU",1,"2016","1300",7.881
"CH","CHE","Switzerland","EU",1,"2017","1300",12.284
"CH","CHE","Switzerland","EU",1,"2010","3000",0
"CH","CHE","Switzerland","EU",1,"2018","1300",11.009
"CH","CHE","Switzerland","EU",1,"2019","1300",12.631
"CH","CHE","Switzerland","EU",1,"2020","1300",12.513
"CH","CHE","Switzerland","EU",1,"2018","1200",22.423
"CH","CHE","Switzerland","EU",1,"2008","1300",7.195
"CH","CHE","Switzerland","EU",1,"2009","1300",5.322
"CH","CHE","Switzerland","EU",1,"2009","4000",11.278
"CH","CHE","Switzerland","EU",1,"2010","4000",11.878
"CH","CHE","Switzerland","EU",1,"2011","4000",13.803
"CH","CHE","Switzerland","EU",1,"2010","1200",15.582
"CH","CHE","Switzerland","EU",1,"2008","3000",0
"CH","CHE","Switzerland","EU",1,"2009","3000",0
"CH","CHE","Switzerland","EU",1,"2012","5000",40.256
"CH","CHE","Switzerland","EU",1,"2013","5000",41.111
"CH","CHE","Switzerland","EU",1,"2009","1100",46.524
"CH","CHE","Switzerland","EU",1,"2010","1100",49.099
"CH","CHE","Switzerland","EU",1,"2011","1100",58.348
"CH","CHE","Switzerland","EU",1,"2012","1100",56.298
